NOME_MUNICIPIO,CODIGO,GENTILICO,PREFEITO2017,AREA,POPESTIMADA,DENSIDADE,ESCOLARIZACAO,IDHM,MORTALIDADE,RECEITAS,DESPESAS,PIB
Nova Mutum,5106224,mutuense,ADRIANO XAVIER PIVETTA,9532.064,43919,3.31,97.2,0.758,9.57,183404.13645,160019.57097,71101.06
Nova Olímpia,5106232,nova-olimpiense,JOSE ELPIDIO DE MORAES CAVALCANTE,1367.743,20034,11.30,95.7,0.682,7.07,60587.38516,46342.35454,32212.24
Nova Ubiratã,5106240,novo-ubiratãenses,VALDENIR JOSE DOS SANTOS,12500.114,11694,0.73,96.6,0.669,10.58,56815.66295,50075.99932,115474.99
Nova Xavantina,5106257,nova-xavantinense,JOÃO BATISTA VAZ DA SILVA,5530.393,21231,3.52,97.6,0.704,7.38,59140.02822,47789.44954,25790.65
Novo Mundo,5106265,novo-mundenses,ANTONIO MAFINI,5791.050,8990,1.27,99.2,0.674,9.35,30330.45412,24690.67408,20062.35
Novo Horizonte do Norte,5106273,novo-horizontino,SILVANO PEREIRA NEVES,898.499,3985,4.26,98.3,0.664,25.64,19973.60766,17521.85055,15576.79
Novo São Joaquim,5106281,são-joaquinense,ANTONIO AUGUSTO JORDAO,5231.297,5199,1.20,93.9,0.649,10.00,31161.40845,25706.32075,69298.96
Paranaíta,5106299,paranaitense,ANTONIO DOMINGO RUFATTO,4796.013,11193,2.23,97.4,0.672,20.62,62542.31904,53521.64739,37331.31
Paranatinga,5106307,paranatinguense,JOSIMAR MARQUES BARBOSA,24162.444,22246,0.80,94.9,0.667,26.53,77285.65671,63278.97532,35389.47
Novo Santo Antônio,5106315,novo-santo-antoniense,ADÃO SOARES NOGUEIRA,4393.796,2574,0.46,96.9,0.653,38.46,18705.67768,14213.18723,14481.12
Pedra Preta,5106372,pedra-pretense,JUVENAL PEREIRA BRITO,4049.470,17456,3.83,98.2,0.679,18.94,54402.7179,47160.06194,43698.96
Peixoto de Azevedo,5106422,peixotense,MAURICIO FERREIRA DE SOUZA,14400.558,34607,2.16,90.6,0.649,12.76,83657.99088,71537.18351,14059.80
Planalto da Serra,5106455,planaltenses-da-serra,DÊNIO PEIXOTO RIBEIRO,2442.452,2676,1.11,98.5,0.656,48.78,16941.02297,13557.55395,27092.10
